[2025-09-17 21:32:39] iter 200, accuracy: 0.790446306890051
[2025-09-17 21:32:39] iter 201, accuracy: 0.8850638220644872
[2025-09-17 21:32:39] iter 202, accuracy: 0.886750785142768
[2025-09-17 21:32:39] iter 203, accuracy: 0.7133161032860159
[2025-09-17 21:32:39] iter 204, accuracy: 0.7730978712098566
[2025-09-17 21:32:39] iter 205, accuracy: 0.7181132591724878
[2025-09-17 21:32:39] iter 206, accuracy: 0.8813237391927994
[2025-09-17 21:32:40] iter 207, accuracy: 0.8551958281938861
[2025-09-17 21:32:40] iter 208, accuracy: 0.6902164847517857
[2025-09-17 21:32:40] iter 209, accuracy: 0.7000772396863855
[2025-09-17 21:32:40] iter 210, accuracy: 0.9722594038887717
[2025-09-17 21:32:40] iter 211, accuracy: 0.9048361658639391
[2025-09-17 21:32:40] iter 212, accuracy: 0.7004217319313338
[2025-09-17 21:32:40] iter 213, accuracy: 0.9177861711617663
[2025-09-17 21:32:40] iter 214, accuracy: 0.6770597657063642
[2025-09-17 21:32:40] iter 215, accuracy: 0.9468275299129981
[2025-09-17 21:32:40] iter 216, accuracy: 0.7142672421989387
[2025-09-17 21:32:40] iter 217, accuracy: 0.890036257510218
[2025-09-17 21:32:40] iter 218, accuracy: 0.7764882496702459
[2025-09-17 21:32:40] iter 219, accuracy: 0.8302013395359491
[2025-09-17 21:32:40] iter 220, accuracy: 0.588258954297405
[2025-09-17 21:32:40] iter 221, accuracy: 0.5322375586957074
[2025-09-17 21:32:40] iter 222, accuracy: 0.8390468106250385
[2025-09-17 21:32:40] iter 223, accuracy: 0.9047707126901239
[2025-09-17 21:32:40] iter 224, accuracy: 0.684747002101391
[2025-09-17 21:32:40] iter 225, accuracy: 0.8843372804963914
[2025-09-17 21:32:40] iter 226, accuracy: 0.8726052305642034
[2025-09-17 21:32:40] iter 227, accuracy: 0.7676486852392117
[2025-09-17 21:32:40] iter 228, accuracy: 0.7445575296347636
[2025-09-17 21:32:40] iter 229, accuracy: 0.9136391168782595
[2025-09-17 21:32:40] iter 230, accuracy: 0.8746983930016288
[2025-09-17 21:32:40] iter 231, accuracy: 0.9051352194907004
[2025-09-17 21:32:40] iter 232, accuracy: 0.7912631944500527
[2025-09-17 21:32:41] iter 233, accuracy: 0.8056360485773361
[2025-09-17 21:32:41] iter 234, accuracy: 0.6971784826339181
[2025-09-17 21:32:41] iter 235, accuracy: 0.8678897685749083
[2025-09-17 21:32:41] iter 236, accuracy: 0.7751028378213455
[2025-09-17 21:32:41] iter 237, accuracy: 0.9419441978343839
[2025-09-17 21:32:41] iter 238, accuracy: 0.7498496147964542
[2025-09-17 21:32:41] iter 239, accuracy: 0.768243683333474
[2025-09-17 21:32:41] iter 240, accuracy: 0.739721500892533
[2025-09-17 21:32:41] iter 241, accuracy: 0.6992150898790558
[2025-09-17 21:32:41] iter 242, accuracy: 0.8397292943220747
[2025-09-17 21:32:41] iter 243, accuracy: 0.8676196749327966
[2025-09-17 21:32:41] iter 244, accuracy: 0.879797900673664
[2025-09-17 21:32:41] iter 245, accuracy: 0.8482049136406007
[2025-09-17 21:32:41] iter 246, accuracy: 0.7701010549015257
[2025-09-17 21:32:41] iter 247, accuracy: 0.4746934627548935
[2025-09-17 21:32:41] iter 248, accuracy: 0.831363738091372
[2025-09-17 21:32:41] iter 249, accuracy: 0.6563073595381531
[2025-09-17 21:32:41] iter 250, accuracy: 0.44978030384218814
[2025-09-17 21:32:41] iter 251, accuracy: 0.8876396864082574
[2025-09-17 21:32:41] iter 252, accuracy: 0.8483305610775282
[2025-09-17 21:32:41] iter 253, accuracy: 0.7532016368828566
[2025-09-17 21:32:41] iter 254, accuracy: 0.9077291032114309
[2025-09-17 21:32:41] iter 255, accuracy: 0.8373598643843193
[2025-09-17 21:32:41] iter 256, accuracy: 0.895540883303967
[2025-09-17 21:32:41] iter 257, accuracy: 0.8486235305152573
[2025-09-17 21:32:41] iter 258, accuracy: 0.5665359248810602
[2025-09-17 21:32:42] iter 259, accuracy: 0.7379733405188744
[2025-09-17 21:32:42] iter 260, accuracy: 0.6787559147473025
[2025-09-17 21:32:42] iter 261, accuracy: 0.9780834089899357
[2025-09-17 21:32:42] iter 262, accuracy: 0.5952113128716051
[2025-09-17 21:32:42] iter 263, accuracy: 0.5836155825990784
[2025-09-17 21:32:42] iter 264, accuracy: 0.8385536570426845
[2025-09-17 21:32:42] iter 265, accuracy: 0.6993536979669823
[2025-09-17 21:32:42] iter 266, accuracy: 0.4953899919612629
[2025-09-17 21:32:42] iter 267, accuracy: 0.3557465496063162
[2025-09-17 21:32:42] iter 268, accuracy: 0.8616680369050878
[2025-09-17 21:32:42] iter 269, accuracy: 0.9086253473294224
[2025-09-17 21:32:42] iter 270, accuracy: 0.7209860008529675
[2025-09-17 21:32:42] iter 271, accuracy: 0.741970523702292
[2025-09-17 21:32:42] iter 272, accuracy: 0.8019088054176385
[2025-09-17 21:32:42] iter 273, accuracy: 0.7727736871224186
[2025-09-17 21:32:42] iter 274, accuracy: 0.863563228562464
[2025-09-17 21:32:42] iter 275, accuracy: 0.8348517985295245
[2025-09-17 21:32:42] iter 276, accuracy: 0.8954759380315636
[2025-09-17 21:32:42] iter 277, accuracy: 0.952208360167143
[2025-09-17 21:32:42] iter 278, accuracy: 0.8337816218572766
[2025-09-17 21:32:42] iter 279, accuracy: 0.8181882006902511
